restaurant_id,name,location,cuisine_type,signup_date
101,"Ashley, Nielsen and Sellers",Tracyville,Mexican,2023-12-01
102,Koch-Decker,Johnbury,Indian,2025-07-19
103,"Arroyo, Miller and Tucker",Port Amandaberg,Indian,2025-06-09
104,"Alvarez, Pierce and Baker",Brandtside,Mexican,2023-11-05
105,"Vaughn, Marquez and Ross",Samuelhaven,Chinese,2025-03-06
106,Wright Inc,Andrewside,Italian,2024-07-13
107,"Robinson, Jones and Welch",North Rebecca,Italian,2024-01-23
108,Jones-Young,Lewisberg,Italian,2025-05-26
109,"Johnston, Sanchez and Kennedy",Leeville,Mexican,2025-02-09
110,Gomez-Jenkins,Lake Deniseville,Indian,2024-12-21
